time,soil1,soil2,soil3,temp,humi,PH,sun,section1,section2,section3
2017-06-01-06,462,446,423,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-01-07,475,454,423,21,20,9.82,0,Rosemary,Lavender,Peppers
2017-06-01-08,480,458,423,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-09,482,460,423,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-01-10,483,460,421,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-11,483,461,422,20,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-01-12,483,461,421,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-13,483,462,422,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-01-14,480,459,419,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-15,479,460,420,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-16,480,463,421,20,19,9.76,0,Rosemary,Lavender,Peppers
2017-06-01-17,481,462,420,19,19,9.8,0,Rosemary,Lavender,Peppers
2017-06-01-18,480,462,421,19,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-19,480,462,421,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-01-20,479,462,421,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-21,475,459,418,20,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-01-22,476,460,419,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-01-23,475,459,418,21,20,9.77,0,Rosemary,Lavender,Peppers
2017-06-01-24,477,462,420,20,19,9.76,0,Rosemary,Lavender,Peppers
2017-06-02-01,476,461,419,19,19,9.82,0,Rosemary,Lavender,Peppers
2017-06-02-02,476,461,419,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-03,475,461,419,20,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-02-04,474,460,417,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-05,474,460,418,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-02-06,474,459,417,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-07,470,457,416,20,19,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-08,471,458,417,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-09,471,459,418,21,20,9.76,0,Rosemary,Lavender,Peppers
2017-06-02-10,473,460,418,19,19,9.78,0,Rosemary,Lavender,Peppers
2017-06-02-11,472,459,418,19,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-12,472,460,417,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-02-13,471,459,417,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-14,471,459,417,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-02-15,470,459,417,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-16,470,459,417,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-02-17,470,459,417,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-18,469,458,416,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-19,470,458,416,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-20,469,459,417,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-21,469,458,416,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-22,469,459,416,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-02-23,469,458,415,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-02-24,468,459,416,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-01,468,459,415,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-02,467,458,416,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-03,467,459,416,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-04,466,458,415,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-05,465,457,413,21,20,9.8,0,Rosemary,Lavender,Peppers
2017-06-03-06,465,458,416,21,20,9.76,0,Rosemary,Lavender,Peppers
2017-06-03-07,467,459,416,19,19,9.78,0,Rosemary,Lavender,Peppers
2017-06-03-08,466,458,415,19,19,9.8,0,Rosemary,Lavender,Peppers
2017-06-03-09,466,458,415,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-10,466,458,414,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-11,465,458,414,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-12,465,458,414,21,20,9.78,0,Rosemary,Lavender,Peppers
2017-06-03-13,462,456,413,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-14,463,455,411,21,20,9.78,0,Rosemary,Lavender,Peppers
2017-06-03-15,462,456,413,21,20,9.76,0,Rosemary,Lavender,Peppers
2017-06-03-16,462,456,412,20,19,9.75,0,Rosemary,Lavender,Peppers
2017-06-03-17,464,458,413,19,19,9.75,0,Rosemary,Lavender,Peppers
2017-06-03-18,463,458,413,19,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-19,462,457,413,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-20,462,457,413,20,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-21,461,457,413,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-03-22,459,456,412,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-03-23,459,456,412,21,20,9.76,0,Rosemary,Lavender,Peppers
2017-06-03-24,461,458,413,21,20,9.78,0,Rosemary,Lavender,Peppers
2017-06-04-01,461,457,411,19,19,9.78,0,Rosemary,Lavender,Peppers
2017-06-04-02,461,457,412,21,20,9.82,0,Rosemary,Lavender,Peppers
2017-06-04-03,460,457,413,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-04-04,460,457,412,20,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-04-05,459,457,412,20,19,9.79,0,Rosemary,Lavender,Peppers
2017-06-04-06,457,455,411,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-04-07,457,455,412,21,20,9.75,0,Rosemary,Lavender,Peppers
2017-06-04-08,459,456,411,19,19,9.81,0,Rosemary,Lavender,Peppers
2017-06-04-09,458,456,412,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-04-10,458,457,412,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-04-11,457,456,411,21,20,9.79,0,Rosemary,Lavender,Peppers
2017-06-04-12,455,455,411,21,20,9.81,0,Rosemary,Lavender,Peppers
2017-06-04-13,454,454,410,21,20,9.79,0,Rosemary,Lavender,Peppers
